"","X.2","X.1","X","id","resourceType","title","description","startDate","endDate","lat","lon","documentType","author","Evacuated","Homeless","Injuries","Deaths","Insured.Cost","Train.s..damaged","Train.s..destroyed","Home.s..damaged","Home.s..destroyed","Building.s..damaged","Building.s..destroyed","Ind.Premises.destroyed","Com.Premises.damaged","Com.Premises.destroyed","Bridge.s..damaged","Bridge.s..destroyed","Aircraft.damaged","Aircraft.destroyed","Motor.Vehicle.s..damaged","Motor.Vehicle.s..destroyed","Water.vessel.s..damaged","Water.vessel.s..destroyed","Business.es..damaged","Business.es..destroyed","Farm.s..damaged","Farm.s..destroyed","Crop.s..destroyed","Livestock.destroyed","Government.assistance","regions","subjects","url","resourceUrl","Disasterlength","buildingdestroyedordamaged","Vehiclesdamagedordestroyed"
"55",55,55,134,136,"Disaster Event","Storm/Flood","On 3 December 2001, severe thunderstorms hit a wide area of New South Wales with the most impact occurring in Sydney. A storm event moving at 80-100 km per hour produced a wind gust of 174 km per hour at the north western suburb of Richmond, which set a record as the highest wind gust ever recorded in mainland New South Wales. Other significant squalls were recorded,109 km per hour at Kurnell, 102 km per hour at Hornsby and at Gunnedah (north-west slopes) wind gusts of 137 km per hour caused damage to trees and buildings. Hail estimated to be 3 cm in diameter was reported at Pymble and 2 cm in diameter was also reported at Swansea in the Hunter Valley.  Two people died when a branch of a tree fell on their tent at Crosslands Reserve, Hornsby Heights, North Sydney.  The Insurance Council of Australia estimated the 2001 damage at $30 million, with the 2011 estimated normalised cost of $57 million.","12/03/2001 0:00","12/03/2001 0:00",-33.59631729,150.7569733,NA,"",0,0,0,2,3e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=136",NA,0,0,0
"56",56,56,138,140,"Disaster Event","Bushfire","On 8 January 1969 a total fire ban day was declared with 230 fires breaking out burning more than 324,000 hectares. Twenty-one of these fires were highly destructive. The worst fires were on the urban fringe of Melbourne and several were serious grass fires. There had been a fire on the previous day at Anakie near the Geelong - Ballan Road. The fire was quickly extinguished though it broke out again early Wednesday. The terrain being flat grassland went up and the fire moved quickly in the direction of Lara where it destroyed a 90 year old gothic church and 40 houses. Seventeen people abandoned their cars and tried to outrun the fire when it crossed the highway, all died. This event was a catalyst in changing guidelines recommending people are safer staying in a car when fire is upon them. The fire burnt to the edge of suburban Melbourne including Altona, Diamond Valley and Kangaroo Ground. In total 23 people died, 100 were injured, and 230 homes and 21 buildings were destroyed.","1/08/1969 0:00","1/09/1969 0:00",-38.0235939,144.4078674,NA,"",0,800,100,23,0,0,0,0,230,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=140",NA,1,251,0
"57",57,57,140,142,"Disaster Event","Storm/Flood","On 26 February 1854 severe flooding was recorded in Hobart and several lives were apparently lost. On 11 March of the same year substantial rainfall fell throughout Tasmania. The Jordan River was at its highest level since 1828 by 3 ft. On the Clyde River, the Hamilton bridge was washed away.","2/26/1854 00:00:00","3/22/1854 00:00:00",-42.881279,147.323914,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasmania",NA,"http://www.emknowledge.gov.au/resource/?id=142",NA,24,0,0
"58",58,58,148,150,"Disaster Event","Storm/Flood","On 7 August 1999, four men in their early twenties were caught in a strong blizzard whilst hiking within Kosciuszko National Park. The men were hiking from Thredbo to Lake Albina for a snowboarding and camping adventure when a severe blizzard developed, forcing them to dig and shelter in a snow cave. It is believed the snow cave was quickly buried in the blizzard, causing the men to be asphyxiated.  The bodies were found 101 days later on 16 November 1999, 2.5 km from where the group had started their trek, at a point not far from Mt Kosciuszko.","8/07/1999 0:00","8/11/1999 0:00",-36.33946609,148.5736084,NA,"",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=150",NA,4,0,0
"59",59,59,149,151,"Disaster Event","Bushfire","During the period 15 October until 3 December, a bushfire damaged the Blue Mountain region. Winds recorded up to 100 km per hour, intensified the fire front. Due to an unusually dry spring, conditions allowed the fire to burn for approximately four weeks. Widespread damage was caused to infrastructure, houses and buildings. A total of 1,500,000 ha were burnt and 14 people died.  Other areas affected included; Valley Heights, Warrimoo, Blaxland and Emu Plains. The damage bill was estimated at approximately &pound;1,500,000.","10/15/1968 0:00","12/03/1968 0:00",-33.59318924,150.5356445,NA,"",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=151",NA,49,0,0
"60",60,60,150,152,"Disaster Event","Drought/Heatwave","During the period October 1996 to January 2000 parts of southern and eastern Victoria, the southern Eyre Peninsula of South Australia, the central highlands of Queensland and central and north-eastern parts of Tasmania experienced serious to severe rainfall deficiencies. In some of these regions the rainfall was the lowest on record.  Rainfall deficiencies east of Melbourne for the ten months between April 1999 and January 2000 were severe. Deficiencies around Cape Otway and around Portland in western Victoria were also serious, with January totals being approximately 60 per cent of the average. Below average to average rainfall totals made little change to the deficiencies near Emerald in central Queensland, in the south-east of Tasmania around Hobart and in the north-west, south of Burnie.  Average to above average rainfall in January removed the existing rainfall deficiencies near Ceduna in South Australia.","10/01/1996 0:00","9/30/2000 0:00",-38.33088303,141.6000366,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tasmania;Victoria;South Australia",NA,"http://www.emknowledge.gov.au/resource/?id=152",NA,1460,0,0
"61",61,61,152,154,"Disaster Event","Bushfire","On 7 February 1967 over 100 fires were burning across southern Tasmania, which was to be known as 'Black Tuesday'.  Combination of abundant forest litter created by the prolific growth in the Spring of 1966, strong northerly winds of up to 110 km per hour and extremely hot air created ideal conditions for bushfires. The bushfires swept across the south-east coast of Tasmania and burnt through 264,270 hectares in the state's south in the space of five hours coming within 2 km of central Hobart. Sixty two people lost their lives, and 1400 homes or buildings were destroyed. The fires killed thousands of chickens and sheep among other livestock.  A Royal Commission after the fires found there were 110 fires burning within a 56 km radius of Hobart.  The Insurance Council of Australia estimated the 1967 damage at $14 million, with the 2011 estimated normalised cost of $610 million.","2/07/1967 0:00","2/07/1967 0:00",-43.16512299,146.2417603,NA,"",0,0,0,62,1.4e+07,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,"Tasmania",NA,"http://www.emknowledge.gov.au/resource/?id=154",NA,0,1400,0
"62",62,62,154,157,"Disaster Event","Storm/Flood","During mid February 1860 severe storms caused heavy rainfall. Nowra which was built in a low-lying area located near the Shoalhaven River flooded resulting in 16 people losing their lives. ","01/01/1860 00:00:00","01/01/1860 00:00:00",-34.867905,150.596981,NA,"",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=157",NA,0,0,0
"63",63,63,155,158,"Disaster Event","Drought/Heatwave","This drought is often referred to as the '1914 Drought'. Across large areas of the southern states the period May through to October 1914 remains the driest period on record. Although often spared when the eastern states are in severe drought, the south-west corner of Western Australia received less than half the normal rainfall during the critical May - October months, all but destroying the wheat crop for the season in some districts. It was the lowest Western Australian wheat yield of the century. In terms of livestock seven million sheep were lost respectively in New South Wales and Queensland, approximately three million sheep in Victoria and cattle losses totalled just over one million in various states. The Murray river ceased flowing at Swan Hill and Tasmania experienced severe water shortages.  In the April of 1915 the drought began to break in South Australia, Tasmania, and most of Victoria, and May in New South Wales. The drought lasted until July in southern Queensland, and to the end of the year in northern and central Queensland.","1/01/1913 0:00","12/31/1915 0:00",-35.33641434,143.5621185,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=158",NA,1094,0,0
"64",64,64,169,173,"Disaster Event","Storm/Flood","In April 1998 a severe thunderstorm with strong wind gusts reported up to 80 km per hour, swept from New South Wales into Ipswich and other Brisbane suburbs. Strong winds up to 117 km per hour were recorded in Amberley. Three people died when they were electrocuted by a fallen power line. Other damage reported included yachts in the Brisbane to Gladstone yacht race.","4/10/1998 0:00","4/10/1998 0:00",-27.61335373,152.7585449,NA,"",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=173",NA,0,0,0
"65",65,65,173,177,"Disaster Event","Cyclone/Tornado","Tropical Cyclone Joan developed over the Timor sea and was named on 1 December 1975. The system passed close to the northern tip of Western Australia before moving west to south-westerly over the ocean and gradually intensified. Late on the 6th, the cyclone suddenly took a southerly direction and the eye crossed the coast 50 km west of Port Hedland at about 6am on 8 December 1975.  Despite Port Hedland not being in the centre of the storm it was subjected to strong winds exceeding 90 km per hour for approximately 10 hours with winds in excess of 120 km per hour for three hours. The maximum measured wind gust was 208 km per hour. Severe property damage occurred at Port Hedland and other townships nearby. Eighty-five per cent of all houses were damaged to some degree. Power and communications were lost for several days.  Heavy rainfall inland caused flooding. Marandoo, near Tom Price registered 591 mm while many other sites recorded rainfall over 400 mm. The heavy rain occurred along and just east of the cyclone track. Some of the two and three-day totals registered over the Hamersley Range represent in excess of a once in 100 year event.  The Insurance Council of Australia estimated the 1975 damage at $20 million, with the 2011 estimated normalised cost of $398 million.","12/08/1975 0:00","12/09/1975 0:00",-13.41099358,125.859375,NA,"",0,20,0,0,2e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia",NA,"http://www.emknowledge.gov.au/resource/?id=177",NA,1,0,0
"66",66,66,177,181,"Disaster Event","Storm/Flood","Wide spread flooding occurred in New South Wales a result of a cyclone that moved south from Queensland.  Exceptionally heavy rain fell in the north coast and north-western districts. At Murwillumbah on the Tweed River six inches of rain fell in 24 hours, with two inches recorded in the city. Heavy seas caused high tides along the New South Wales coast.  The resulting damage included; the closure of the Mascot airport, road closures, 8000 homes damaged, 1000 head of cattle dead, and 10 casualties.","1/16/1950 0:00","1/19/1950 0:00",-28.32561302,153.395401,NA,"",0,0,0,10,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=181",NA,3,8000,0
"67",67,67,182,186,"Disaster Event","Storm/Flood","During the period 9 - 11 March 2001, thunderstorm activity brought intense rainfall to the Queensland south-east Coast district.  Subsequent heavy rain affected the Gold Coast and Logan City, with heavy rain falling over Brisbane City, producing areas of flash flooding, particularly across southern suburbs but also in the east and north. Intense rainfall was observed across the district for duration of approximately 6 hours.  Gold Coast and Logan City: A person drowned during the early morning hours of 11 March, when the vehicle in which they were passenger was swept off a road near Logan. Many homes and businesses were damaged by flash flooding. Flooding at Beenleigh also led to four houses being inundated with sewage.  Brisbane City: A person was confirmed drowned, after being swept away by flood waters on the evening of 9 March, when vehicle in which they were passenger was washed off a road at Lawnton (in Brisbane's north). The damage inventory included hundreds of cars, many shops and offices, and up to 600 homes.  Stones Corner, a suburb in inner-eastern Brisbane, was one of the worst hit areas. Metre-deep flooding entered East's League's Club, forcing 50 patrons to be evacuated. About 30 cars were submerged in the club car park. Many houses throughout Brisbane's southern suburbs were also flooded. Over 100 homes were inundated in Wishart (southern suburb). Heavy rain downed powerlines at Annerley, Woolloongabba, Greenslopes and Holland Park. A block of flats at Greenslopes had the roof torn off. Cars that were stalled on flooded roads caused peak-hour traffic chaos. Many cars that had been left in flooded streets floated away. A car dealership in Salisbury reported damage to about 50 vehicles.  Three flights were diverted from Brisbane Airport to the Amberley RAAF Base after lights along the Brisbane runway went out (due to lightning). A house boat, moored on Norman Creek in eastern Brisbane, was damaged. The northern suburbs of McDowall, Windsor, Ferny Hills, Arana Hills and Everton Hills also recorded severe water damage. In the northern suburb of Aspley,six new cars were swept from the yard of a car dealership and into Cabbage Tree Creek and another 80 new vehicles were damaged. Flash flooding caused problems in Everton Hills near Kedron Brook.  Sunshine Coast: A person was rescued from a vehicle that was washed into a waterway. Shops in the main street of Beerwah were flooded, trees came down on powerlines and cars were swept away. Numerous traffic accidents were reported. Flash flooding was also reported near Sunrise Beach, and at Noosaville, Nambour, Eumundi and Hunchy. Powerlines were brought down at Nambour. Two homes were evacuated when it was believed that the roofs could be blown off.  Rainfall recorded during the flash flooding:    On the Gold Coast centred around Carrara a total of 176 mm  At Beenleigh where 317 mm was recorded at the Bowling Club  In the northern suburbs of Brisbane where 187mm was recorded at Everton Hills  Approximately 200 mm between Landsbrough and Nambour  An area up to 230 mm centred between Ball Lookout and Cooroy    The Insurance Council of Australia estimated the 2001 damage at $37 million, with the 2011 estimated normalised cost of $99 million.","3/09/2001 0:00","3/11/2001 0:00",-27.96529579,153.3924866,NA,"",50,0,0,2,3.7e+07,0,0,707,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=186",NA,2,707,166
"68",68,68,184,188,"Disaster Event","Storm/Flood","On 6 December 1986 two severe storms occurred over Adelaide and region with strong winds heavy and rain. Most damage was caused by wind and there was some flooding reported. Some areas in Adelaide Hills and the Far-North of the state were flooded.  The Insurance Council of Australia estimated the 1986 damage at $10 million, with the 2011 estimated normalised cost of $50 million.","12/06/1986 0:00","12/08/1986 0:00",-34.92745972,138.5999908,NA,"",0,50,0,0,1e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Australia",NA,"http://www.emknowledge.gov.au/resource/?id=188",NA,2,0,0
"69",69,69,187,191,"Disaster Event","Storm/Flood","On 9 November 1976, a severe hailstorm spread across the Sydney metropolitan area, focusing on the western suburbs. Wind gusts reached 96 km per hour and large hailstones ranging between one and 4.4 cm in diameter were recorded. The storm caused extensive damage to homes and vehicles and ten people sustained injuries.  The Insurance Council of Australia estimated the 1976 damage at $40 million, with the 2011 estimated normalised cost of $650 million.","11/09/1976 0:00","11/09/1976 0:00",-33.85551834,150.862793,NA,"",0,0,10,0,7.32e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=191",NA,0,0,0
"70",70,70,189,193,"Disaster Event","Storm/Flood","A tropical cyclone brought about heavy rainfall to the Bowen district. A 1.5 m wall of water flowed at a rate of 14 km per hour through Clermont destroying houses, furniture, fences, business and livestock. Other towns affected included Peak Downs, Lilyvale and Capella.  As a result of the floods 15 people died.","01/02/1870 00:00:00","01/02/1870 00:00:00",-22.81669426,147.6480103,NA,"",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=193",NA,0,0,0
"71",71,71,191,195,"Disaster Event","Bushfire","On 16 October 1991, a number of fires erupted on the coast of New South Wales many of which were believed to be deliberately lit. Major towns affected included Kenthurst, Hunter, Shoalhaven, Baulkham Hills, Gosford, Wyong Shire, Lake Macquarie and Cooma. Approximately 2500 firefighters were activated to control around thirty separate incidents across the state. A total of fourteen homes were completely destroyed and two people died via the fires at Kenthurst.","10/16/1991 0:00","1/31/1992 0:00",-33.65120697,151.0015869,NA,"",0,0,0,2,1.2e+07,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=195",NA,107,14,0
"72",72,72,192,196,"Disaster Event","Bushfire","On 14 January 1985 a significant number of bushfires started in Victoria predominantly from lightning strikes. A major fire in Central Victoria burnt 50,800 hectares of land, including 17,600 hectares of Crown Land. Three people died and over 180 houses, 500 farms and 46,000 livestock were destroyed as a result of the fire. Areas affected including Avoca, Maryborough, and Little River. A large number of fires also started in the Victorian alpine areas, the largest at Mt Buffalo burning 51,400 hectares. Overall, 111 fires started on public land on and it took two weeks to bring the fires under control.","1/14/1985 0:00","1/28/1985 0:00",-37.04653931,143.736969,NA,"",0,600,0,3,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,46000,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=196",NA,14,180,0
"73",73,73,193,197,"Disaster Event","Drought/Heatwave","A severe dry commenced in February 1951. Low rainfall, grass fires and bushfires over an area of about 6 million ha and cold winters caused one of the worst droughts in Queensland. Losses occurred in the cropping, farming and dairy industries. Crop and dairy production were the lowest since 1926. The dry conditions continued until April 1952. A further period of dry weather followed in 1953. By early 1954 the drought covered the Gulf of Carpentaria to the Darling Downs and west to the border with South Australia.","1/01/1951 0:00","4/01/1954 0:00",-25.16517258,143.6572266,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+05,0,"Western Australia",NA,"http://www.emknowledge.gov.au/resource/?id=197",NA,1186,0,0
"74",74,74,197,201,"Disaster Event","Storm/Flood","During the period between 17-18 August, a low pressure trough moved along the central and southern New South Wales coast causing heavy rainfall. On 17 August between the hours 6:00 pm to 9:00 pm, a thunderstorm remained over the Wollongong area dumping heavy falls. Due to the flash flooding, many areas were isolated until 9:00 pm.  As a result, major roads and train lines to Wollongong were disrupted and mudslides were reported on some roads, including Bulli Pass. Fifty homes were flooded in north Wollongong, and it was reported homes along the coast were dislodged from their foundations. One person drowned in attempting to cross a flooded creek at Bellambi.  Damage recorded in Sydney suburbs included; erosion of beach side suburbs, 14 metropolitan roads blocked, power loss to thousands of homes, reports of winds reaching up to 92 km per hour which brought down trees and power lines.  Due to the impact of the flood, the State Emergency Services (SES) obtained access to the Natural Disaster Relief Arrangements (NDRA) funding which assisted in the response efforts. During the cleanup operation up to 450 personnel assisted and 41 SES volunteer units sent teams into Wollongong.  Rainfall recorded for 24 hours to 9:00am on 18 August were:  Mt Ousley: 445 mm  Bulli Pass: 410 mm  Keiraville: 337 mm  Figtree: 313 mm  Wollongong: 316 mm  The Insurance Council of Australia estimated the 1998 damage at $40 million, with the 2011 estimated normalised cost of $97 million.","8/17/1998 0:00","8/19/1998 0:00",-34.42443466,150.8930969,NA,"",0,0,0,1,4e+07,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New South Wales",NA,"http://www.emknowledge.gov.au/resource/?id=201",NA,2,50,0
"75",75,75,202,206,"Disaster Event","Bushfire","Throughout February and March 1926, forest fires raged across large areas of Gippsland. In total, 60 people died. There was&nbsp;widespread destruction to farms, houses and sawmills. It is estimated 400,000 hectares of forest was burnt. The fires reached their peak on 14 February (Black Sunday) when 31 people died at Warburton near Melbourne. Other areas badly affected include Noojee, Kinglake, Erica and the Dandenong Ranges. Widespread fires also occurred across New South Wales, Australian Capital Territory and Queensland.","2/01/1926 0:00","3/10/1926 0:00",-37.75360107,145.6890869,NA,"",0,700,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=206",NA,37,0,0
"76",76,76,206,210,"Disaster Event","Bushfire","On 2 December 1998, a fire six km north of Linton and 30 km west of Ballarat in Western Victoria, burnt 660 hectares of public and private land. In the evening two CFA fire trucks became surrounded by fire. The crew managed to save themselves in one of the trucks however the other was destroyed by fire and the crew of five volunteer firefighters died.  A Coronial Inquest was undertaken and after a lengthy review process a report was produced on 11 January 2002 detailing 55 recommendations.","12/02/1998 0:00","12/02/1998 0:00",-37.68438339,143.5633545,NA,"",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Victoria",NA,"http://www.emknowledge.gov.au/resource/?id=210",NA,0,0,2
"77",77,77,208,212,"Disaster Event","Storm/Flood","On 24 January 1974, torrential rain and record breaking floods were a direct result of Tropical Cyclone Wanda, which crossed north of Brisbane.  Record flooding occurred in the Bulloo, Paroo, middle and lower reaches of the Flinders, Norman, Gilbert, Cooper, Diamantina, Georgina and Eyre rivers and creeks as well as Nerang, Brisbane City metropolitan, upper Brisbane, Bremer, Warrill and Logan rivers. By 29 January the Brisbane area had recorded 900 mm of rain. Brisbane also received 314 mm of rain in a 24 hour period surpassing the previous record established in 1931.  Six thousand houses were inundated by flood waters, where 56 were either completely destroyed or deemed uninhabitable. There was widespread damage to infrastructure including roads, railways and bridges as well as power lines, resulted in serious power failures throughout the affected regions. Business and industries sustained millions of dollars in losses due to the heavy deluge.  The Insurance Council of Australia estimated the 1974 damage at $68 million, with the 2011 estimated normalised cost of $2645 million.","1/25/1974 0:00","1/29/1974 0:00",-27.4712677,153.0091705,NA,"",2500,0,300,13,6.8e+07,0,0,6000,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=212",NA,4,6056,0
"78",78,78,213,217,"Disaster Event","Storm/Flood","The Queensland flood of 1893 is often referred to as the Black February Flood. Tropical cyclone Bundinyong brought about extreme weather conditions and heavy rain to the area. Crohamhurst recorded 914 mm in a 24 hour period. Furthermore, the water gauge recorded 8.35 m above the low tide level and 889 mm of rain fell in the Brisbane water catchment reserves.  Further flooding destroyed two major bridges. Both the Victoria bridge and the Indooroopilly Railway bridge collapsed.  There were 35 recorded deaths.","2/01/1893 00:00:00","2/15/1893 00:00:00",-27.61281967,152.7580261,NA,"",0,5000,300,35,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=217",NA,14,0,0
"79",79,79,214,218,"Disaster Event","Cyclone/Tornado","Cyclone Audrey began on 28 February 1969, and brought rough seas and heavy rain to the north and west coasts of the Northern Territory. It caused only minor damage, including uplifting roofs of buildings at Milingimbi and Maningrida.  At Goulburn Island off the northern Arnhem Land coast four fishermen were killed by the cyclone.","2/28/1969 0:00","3/09/1969 0:00",-12.05006504,134.2199707,NA,"",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northern Territory",NA,"http://www.emknowledge.gov.au/resource/?id=218",NA,9,0,0
"80",80,80,218,222,"Disaster Event","Cyclone/Tornado","Tropical Cyclone Emily formed off the southern and central coasts of Queensland resulting in eight deaths (in three separate incidents).  Other damage recorded included flooding at Kingaroy and Brisbane.","3/27/1972 0:00","4/02/1972 0:00",-23.41284752,150.8175659,NA,"",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=222",NA,6,0,0
"81",81,81,220,224,"Disaster Event","Bushfire","During the period between September and November 1994, fires burnt through rural and urban property on the Sunshine Coast, Caboolture, Pine Rivers, Brisbane and other local Government areas.  A total of 682 major fires occurred across the state. Major outbreaks occurred on 27 - 29 September and again on 4 - 7 November. Twenty three houses were destroyed, as well as farm buildings, fences and livestock. Three thousand people were evacuated from their homes. Beerburrum State Forest sustained plantation timber losses of approximately 5000 hectares. Nine volunteer fire fighters were injured, with seven sustaining extensive burns.  The Insurance Council of Australia estimated the 1994 damage at $59.1 million, with the 2011 estimated normalised&nbsp;cost of $215 million.","9/27/1994 0:00","11/07/1994 0:00",-27.08205414,152.9538879,NA,"",3000,0,9,0,59100000,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=224",NA,41,23,0
"82",82,82,229,233,"Disaster Event","Earthquake","On 1 March 1954 for 20 to 30 seconds, a 5.5 Richter Scale earthquake caused damage to 3000 buildings including collapsed and cracked walls, smashed windows and collapsed chimneys mainly in the southern suburbs of Adelaide. Some houses were reduced to rubble. The earthquake, which started at approximately 3.45 am, caused some metropolitan areas to lose power for two hours. Several big city buildings were cracked and damaged. It also resulted in three people being seriously injured. At the time, damage from the earthquake was estimated at approximately &pound;3 million.","3/01/1954 0:00","3/01/1954 0:00",-34.97600174,138.6254883,NA,"",0,0,3,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Australia",NA,"http://www.emknowledge.gov.au/resource/?id=233",NA,0,3000,0
"83",83,83,231,235,"Disaster Event","Bushfire","The fire known as Black Sunday occurred on 2 January 1955. The Mount Lofty Ranges east of Adelaide was devastated by fires. Adelaide reached a maximum temperature of 43 &deg;C at 1.00 pm. Wind gusts of 100 km per hour were recorded with higher velocities in the hills. The fire was particularly intense near Upper Sturt where the railway station and several houses were destroyed as well as Crafers, Aldgate, Loftia Park resort; and Marble Hill where the governors' summer residence was burnt down. Two firefighters were killed and 40,000 ha burnt out. The damage bill was estimated at &pound;4 million.","1/02/1955 0:00","1/02/1955 0:00",-35.00764465,138.7087402,NA,"",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Australia",NA,"http://www.emknowledge.gov.au/resource/?id=235",NA,0,0,0
"84",84,84,233,237,"Disaster Event","Cyclone/Tornado","Cyclone Bobby travelled south along the west coast of Australia and passed near Onslow. It caused considerable damage to homes and buildings bringing heavy rains which flooded roads, damaged bridges, and caused damage to crops. The mining industry was severely affected.  The cyclone moved slowly and erratically along the Pilbara coast crossing just to the east of Onslow. The highest recorded wind gust was 183 km per hour at Onslow. A gust of 166 km per hour was recorded on Varanus Island off the Western Australian coast. Very heavy rainfall accompanied Bobby, with more than 400 mm of rain falling in the Onslow area.  Very minor property damage was reported from the Karratha area. Approximately 20 houses at Onslow sustained superficial roofing damage. Pastoral stations along the track between Onslow and Gascoyne Junction reported property damage.  Seven lives were lost when two fishing trawlers sunk off the coast from Onslow, and a motorist&nbsp;drowned while attempting to cross a flooded creek at Canarvon.  The Insurance Council of Australia estimated the 1995 damage at $11 million, with the 2012 estimated normalised cost of $48 million.","2/24/1995 0:00","2/27/1995 0:00",-21.63766289,115.1149368,NA,"",0,0,0,8,1.1e+07,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia",NA,"http://www.emknowledge.gov.au/resource/?id=237",NA,3,20,0
"85",85,85,235,239,"Disaster Event","Bushfire","From 16 September to the end of December 1918, fire spread throughout an area near Charleville, Blackall, Barcaldine, Hughenden and Longreach. Five lives were lost near Saltern Creek.","9/16/1918 0:00","12/30/1918 0:00",-23.44151306,144.2484283,NA,"",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queensland",NA,"http://www.emknowledge.gov.au/resource/?id=239",NA,105,0,0
